model,f1_macro_mean,f1_macro_std,acc_mean,bacc_mean,n_folds
rf,0.23793650793650795,0.15826471441440196,0.26363636363636367,0.22666666666666666,5
logreg,0.2114959114959115,0.1150477941498082,0.24363636363636365,0.21222222222222223,5
svm_rbf,0.1586772486772487,0.08928254354550275,0.1672727272727273,0.14888888888888888,5
