fold,preproc,mode_hp,global_pred_mean,global_pred_std,global_rmse,chain,n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda
1,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.5579684,0.0016297208,0.5155717950670166,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
2,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.55766195,0.0,0.34908871541177366,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
3,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.55185336,0.00036941795,0.0157235412544251,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
4,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.5413835,0.0,0.23250083213244632,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
5,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.55661607,0.00044174737,0.46369558488635254,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
6,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.54883254,0.00021022916,0.05012396474371339,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
7,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.55935436,0.00030188484,0.28197500387197877,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
8,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.5570755,0.005095669,0.33908786748828124,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
9,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.55215377,0.0022781328,0.019223863155242937,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
10,Normalization,"(50, 0.001, 4, 1, 0.37193442480823136, 0.5, 0.9698778384087898, 0.9737339392492487, 4.112784843624983)",0.5554545,0.007890147,0.18554550743103027,Normalization,50,0.001,4,1,0.37193442480823136,0.5,0.9698778384087898,0.9737339392492487,4.112784843624983
0,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.54732144,7.3746996e-05,0.015220953210632326,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
1,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.5596659,0.005016924,0.5172693353502197,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
2,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.5461687,0.0009967072,0.36058198104058836,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
3,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.5482142,0.0025438436,0.019362702841186574,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
4,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.5432576,0.00021412472,0.2306267428914185,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
5,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.5620987,0.0077718683,0.4691781989267273,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
6,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.54864234,0.00010254901,0.04993376632223512,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
7,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.55392486,0.0025229831,0.2765454975700989,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
8,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.559526,0.007981995,0.34153839324893187,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
9,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.5498556,0.005356975,0.0169256868666382,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
10,Second Derivative,"(50, 0.001, 2, 1, 0.5, 1.0, 0.9001765071703082, 0.9282069507747644, 1.0021600478135566)",0.5528655,0.0048628,0.18813449478149413,Second Derivative,50,0.001,2,1,0.5,1.0,0.9001765071703082,0.9282069507747644,1.0021600478135566
0,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.55149055,0.0032202103,0.011051846727172854,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
1,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.55568284,0.0026518533,0.5132862549631042,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
2,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.55758345,0.0,0.34916721472894285,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
3,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.5536063,0.0007824891,0.013970628256225637,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
4,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.53970474,0.00047472768,0.2341795969525452,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
5,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.5559032,0.00277177,0.46298271333483887,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
6,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.5548146,0.00013193542,0.05610600610266114,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
7,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.56027085,0.00011168162,0.2828914848900452,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
8,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.55647314,0.009503771,0.33848550294818114,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
9,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.55467486,5.2840325e-05,0.021744960815307635,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
10,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",0.5551332,0.0074590715,0.18586677646636962,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
0,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.54999584,0.0027606164,0.012546552404205324,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
1,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.56376654,0.003411842,0.5213699560968322,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
2,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.5463861,0.0010323977,0.36036454329644774,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
3,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.5485431,0.0007918748,0.01903380441131597,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
4,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.5450077,0.0023047416,0.22887663131152347,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
5,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.55952597,0.0019057809,0.4666054836442871,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
6,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.551212,0.0026649311,0.05250344176779176,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
7,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.5539123,0.0005026127,0.2765329209900513,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
8,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.55972487,0.0015104195,0.3417372343439026,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
9,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.55245733,0.0029991614,0.019527429611084002,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
10,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.55210865,0.0032254616,0.18889135456085204,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
