fold,preproc,best_hp,intervals,fold_pred_mean,fold_pred_std,fold_rmse,chain,n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda
1,SNV,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 0.0, 5.0)",,0.5560200214385986,0.0028396942652761936,0.5136234384385986,SNV,50,0.001,10,10,0.5,0.5,1.0,0.0,5.0
2,SNV,"(50, 0.001, 2, 1, 0.5, 0.9808412260787036, 0.7797799384843207, 0.9150207563754952, 4.355332898512156)",,0.557642936706543,0.0,0.349107729293457,SNV,50,0.001,2,1,0.5,0.9808412260787036,0.7797799384843207,0.9150207563754952,4.355332898512156
3,SNV,"(149, 0.001, 10, 1, 0.31621977711246335, 1.0, 0.8605786001352346, 0.784154774766211, 5.0)",,0.5363368391990662,0.00036291248397901654,0.03124006080093389,SNV,149,0.001,10,1,0.31621977711246335,1.0,0.8605786001352346,0.784154774766211,5.0
4,SNV,"(50, 0.001, 10, 1, 0.3588959565869907, 0.5054192432919826, 1.0, 0.8073501399657662, 3.4579676715992367)",,0.5392510294914246,0.0004076025215908885,0.23463330750857547,SNV,50,0.001,10,1,0.3588959565869907,0.5054192432919826,1.0,0.8073501399657662,3.4579676715992367
5,SNV,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",,0.5559031963348389,0.002771770115941763,0.46298271333483887,SNV,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
6,SNV,"(50, 0.001, 2, 1, 0.4566812700503062, 0.5769493019806118, 1.0, 0.0, 1.0)",,0.5535473823547363,6.726637366227806e-05,0.05483881135473634,SNV,50,0.001,2,1,0.4566812700503062,0.5769493019806118,1.0,0.0,1.0
7,SNV,"(50, 0.001, 10, 10, 0.5, 0.5, 0.5, 0.0, 1.0)",,0.5589691996574402,0.00030061090365052223,0.2815898386574402,SNV,50,0.001,10,10,0.5,0.5,0.5,0.0,1.0
8,SNV,"(50, 0.001, 2, 3, 0.42189403988630514, 0.6328044236759187, 0.9524340615088545, 0.7612875725859594, 1.2625572890082946)",,0.557094156742096,0.00957285426557064,0.33910652374209593,SNV,50,0.001,2,3,0.42189403988630514,0.6328044236759187,0.9524340615088545,0.7612875725859594,1.2625572890082946
9,SNV,"(50, 0.001, 2, 1, 0.5, 1.0, 1.0, 0.0, 1.0)",,0.552554190158844,0.0,0.01962428715884401,SNV,50,0.001,2,1,0.5,1.0,1.0,0.0,1.0
10,SNV,"(50, 0.001, 2, 2, 0.13192474063901483, 0.5, 0.865891058388701, 0.21474697792465153, 5.0)",,0.5543238520622253,0.007924225181341171,0.18667614793777465,SNV,50,0.001,2,2,0.13192474063901483,0.5,0.865891058388701,0.21474697792465153,5.0
0,SNV+Second Derivative,"(50, 0.001, 10, 1, 0.5, 0.5, 0.5, 1.0, 5.0)",,0.5503690242767334,0.0019258836982771754,0.012173367723266604,SNV+Second Derivative,50,0.001,10,1,0.5,0.5,0.5,1.0,5.0
1,SNV+Second Derivative,"(50, 0.001, 2, 1, 0.5, 0.5, 1.0, 1.0, 5.0)",,0.5631611347198486,0.0032929140143096447,0.5207645517198486,SNV+Second Derivative,50,0.001,2,1,0.5,0.5,1.0,1.0,5.0
2,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",,0.5463861227035522,0.0010323977330699563,0.36036454329644774,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
3,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 1.0, 1.0, 1.0, 1.0)",,0.5469412803649902,0.003126022405922413,0.020635619635009816,SNV+Second Derivative,50,0.001,10,10,0.5,1.0,1.0,1.0,1.0
4,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 1.0, 1.0, 1.0, 5.0)",,0.5442811250686646,0.0030053334776312113,0.22960321193133548,SNV+Second Derivative,50,0.001,10,10,0.5,1.0,1.0,1.0,5.0
5,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 0.5, 1.0, 5.0)",,0.5591976046562195,0.0013356755953282118,0.4662771216562195,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,0.5,1.0,5.0
6,SNV+Second Derivative,"(50, 0.001, 10, 1, 0.5, 1.0, 0.5, 1.0, 5.0)",,0.5516829490661621,0.004668328911066055,0.05297437806616212,SNV+Second Derivative,50,0.001,10,1,0.5,1.0,0.5,1.0,5.0
7,SNV+Second Derivative,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",,0.553502082824707,0.0006087027140893042,0.27612272182470704,SNV+Second Derivative,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
8,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 1.0)",,0.5596402287483215,0.0016085024690255523,0.3416525957483215,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,1.0
9,SNV+Second Derivative,"(50, 0.001, 10, 1, 0.5, 0.5, 1.0, 1.0, 1.0)",,0.5522217154502869,0.0031709796749055386,0.019291812450286883,SNV+Second Derivative,50,0.001,10,1,0.5,0.5,1.0,1.0,1.0
10,SNV+Second Derivative,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",,0.552108645439148,0.0032254615798592567,0.18889135456085204,SNV+Second Derivative,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
