target,split,n,mean,std,min,q25,median,q75,max
target_SI,train,49,0.506326530612245,0.29659767209478394,0.0,0.29,0.55,0.73,0.98
target_SI,external,11,0.47400698445454553,0.27050079950959777,0.042396583,0.24768349699999997,0.532929903,0.65428845,0.906750666
HGS_pp_avg,train,49,48.75632653061224,29.10229640240402,9.9,22.44,46.16,73.05,100.0
HGS_pp_avg,external,11,46.18028858518182,30.870054583287235,3.680224927,23.43666925,35.13745207,68.78751447,103.9539135
ADF_pp_avg,train,48,43.73104166666667,31.198237212460107,0.0,18.59,34.82,64.47,100.0
ADF_pp_avg,external,11,54.43450396090909,37.817720097891524,4.92722462,28.576367625,40.21026777,80.87228723000001,136.8838782
