sample_index,n_seen,mae_mean,mae_std
10,57,58.52140157243469,31.205017365352166
32,61,51.4496232772112,20.73781757385218
46,58,49.83154761049206,21.278650718145737
44,42,35.16062103497407,15.554769535276513
19,60,30.35640905666582,20.859194664540805
5,50,29.473967454731675,5.9401830199079715
39,37,29.434064987407044,5.9050014644543705
9,58,27.49193312538137,6.25667176954932
6,57,26.7704489681644,8.563957743105696
35,48,26.73183908267517,5.816204193479563
41,53,25.972876675023745,10.952237739582356
34,51,25.7504350169988,7.265158897263515
3,50,23.494516964289584,17.420333098248157
0,51,22.408978223832122,7.840011870264142
21,61,22.106785093485147,7.759329187436466
1,51,22.01500955887491,11.077342039869594
2,49,19.563440741524047,17.71662020916947
20,48,19.552795605211998,5.4153959538071765
16,57,19.473237311706225,8.799390167378299
4,55,18.978913648784918,9.093062259505677
26,61,18.284565525683877,14.026344678035919
31,54,17.78385559044845,11.70785562726006
30,47,17.5774545468833,13.359983198797206
25,49,17.435829406074454,3.5263627296899536
24,50,17.167574427125928,7.992061993673128
43,64,16.596113385944776,9.262750090278518
47,54,16.384155905157836,5.379252027553905
13,53,15.128960022991226,6.098795576575657
37,53,14.829086823336352,8.539191845558989
23,59,14.684707257440422,6.4401832432979
40,48,14.647072899242247,7.399839330553623
18,44,14.507406300202389,5.78018120018107
38,59,11.571203802811011,9.660512573765878
14,49,10.724749386046712,6.204900043090452
12,51,10.372075954888436,6.4602557858652165
48,54,10.066572153509142,5.020061508744865
8,55,9.853822830839809,3.5034396376336354
42,49,9.294728976851161,5.205503020987222
36,55,8.683529362333061,5.394694962925779
17,55,8.586235180962918,3.4305127350750486
33,51,8.208513090188463,4.481463904979169
11,55,8.031755441456374,5.356923099509433
27,52,7.761002269815749,6.2275760675113
22,53,6.872412106530831,5.735410273882979
28,61,6.475211361388553,4.5627339012506
7,58,6.173752491922977,3.9509622710225125
45,57,4.840879643272136,3.4602516716126313
15,49,4.625092746002456,3.7056853298233716
29,47,4.200864227515989,3.388717688675291
