sample_index,n_seen,mae_mean,mae_std
39,50,0.45485254994918717,0.06970903040626338
26,43,0.36540650266856184,0.06946314045322094
32,51,0.34715103018032883,0.08538676620132607
46,50,0.3411021878253044,0.06798935177539522
6,60,0.32470692265926004,0.09240455935284803
34,51,0.2902462950627187,0.05401380228845297
25,46,0.27753738767699937,0.07089202204758538
5,56,0.24947845232034108,0.14105626422771375
24,55,0.2483319847627572,0.09559639307071834
48,61,0.2460394159398164,0.05230221830416307
43,44,0.2436394854109546,0.08329361526644667
3,61,0.23798690132804692,0.11750598634073185
14,49,0.23243913397215646,0.09622178745561646
2,57,0.23000828340477938,0.12413084182097592
13,43,0.22537840285804275,0.08054809301718058
4,58,0.22103217327940514,0.1263027783077366
7,64,0.1895648163924488,0.058958620500328615
37,57,0.18840568685345516,0.07931528089951624
19,59,0.18129350672758768,0.05936606441808222
0,44,0.1779986259323425,0.12036699787715065
9,54,0.17785457187074355,0.043509107226919766
38,57,0.17377256315296138,0.15742291074934292
22,50,0.15889329158609833,0.056027002105567505
15,54,0.1501485442064267,0.03936911615135383
42,57,0.15013340070936715,0.05166172669790802
36,71,0.13707410003621404,0.060531653986831004
23,43,0.13398897024605405,0.055191571460048404
8,47,0.1261073205798788,0.040524356918481996
33,50,0.12276800553477506,0.061673196446499115
44,51,0.12157648595636684,0.08368383031899296
35,57,0.11624555305908832,0.07833498167687632
47,59,0.11509073157752285,0.054081819281252046
11,62,0.11206056701581747,0.05652010448395341
16,42,0.10726098823152556,0.045436616922350806
31,44,0.10650880627203506,0.05554911910814854
28,39,0.10520930060548324,0.07352625266213805
41,53,0.10498696684580054,0.06179536183141756
30,56,0.10449041049075604,0.04115709344117172
21,46,0.10046876939592661,0.0396849016414267
45,61,0.10031526023680457,0.056651647687931274
10,50,0.09707694300513538,0.040578947667153135
12,58,0.09630881578464084,0.07514816722513885
1,57,0.07722323713202994,0.06386516133229848
27,52,0.06168553865716252,0.03847961456685448
18,57,0.060745908905472865,0.04735729910870847
17,56,0.05904858865771715,0.04688467342527326
40,44,0.05596253592498284,0.03558738204286121
20,56,0.039607708095983525,0.030991721414870204
29,58,0.03948316325139344,0.02407280729042377
