sample_index,n_seen,mae_mean,mae_std
32,61,74.40694074139476,8.716081524616069
46,42,57.24092598257154,3.9548566128293965
48,44,55.75654693197588,10.250582476637982
2,57,45.29390445386573,5.2167246662159865
28,51,39.84934293409615,5.37037336778068
5,50,39.29755988160816,10.077679241925734
41,52,35.47572631673842,7.319252774461355
27,44,35.34813747203953,4.870253747141795
33,49,30.942582899088737,6.162014843247376
38,54,30.545417574582043,11.110556931506977
6,60,29.62244166169789,2.9704304041758953
30,49,28.18877913615038,9.190571638070061
43,45,25.687387735945467,6.283813912653105
39,48,25.513266050525445,6.37655632254541
13,52,24.20811227614736,2.0497630374015765
16,45,23.961057635472283,2.7160727261063187
26,44,21.96419070818877,2.951751093160732
42,56,20.44669949546494,7.901177928906158
24,55,18.36209504636913,5.629542598190734
0,49,17.288530816048173,7.983238212927612
47,52,17.089810253509118,6.091177631503713
4,48,16.404114887109948,8.71786487193933
1,60,15.281295508025616,10.724459129027707
8,38,14.435808961350368,2.7506130779466758
18,48,13.408318434209235,3.886028993986836
44,50,13.237452188456421,4.327135741608442
37,44,13.138689447611654,8.252001393341681
10,51,12.612354287277798,3.334421892043272
19,49,12.287459460185522,3.3741979168192704
25,51,12.271435596206077,2.327939750813072
22,47,10.828703688171789,2.8517553464767955
3,47,10.70605773558069,8.658517761398754
9,39,9.376401401434473,2.061587191568514
36,51,8.693719890933037,4.902072669432372
29,51,8.460723552259132,3.5997156292024073
35,53,8.155403281973204,6.384048748808983
31,50,6.990904805699168,5.1144587807793025
12,49,6.496089711113519,1.9758509362714032
7,61,5.968201679608883,2.071030293958417
45,50,5.723922078234568,4.181210156654226
14,47,5.415167384545077,3.3149239330004585
40,53,4.559222876968228,3.2144518735780205
15,51,4.433901213987587,2.417123119599487
11,49,4.0693702217029175,2.7638766909488446
34,48,3.515638319332597,3.2144354526010415
17,56,2.6762046187834323,1.7884393692596579
23,57,2.3152521852722447,2.083307823724375
21,43,1.5046771297460284,1.2894077483670512
