external_index,nn1_dist_Z,nn5_mean_dist_Z,nn1_dist_PCA,nn5_mean_dist_PCA
0,11.059087753295898,12.172648429870605,0.9308617438310608,1.4517416628213369
1,13.094476699829102,15.14843978881836,0.8229776129877289,2.200553059528732
2,22.53687286376953,23.67756462097168,2.8634381277893826,3.3745700202063373
3,9.147054672241211,11.04157657623291,0.6419822307111341,1.1924362740662275
4,13.162501335144043,14.37934741973877,1.9334313369194123,2.317116272594399
5,11.783360481262207,12.88890552520752,0.7669939229858932,1.580445007013322
6,10.455615997314453,11.907135200500488,0.7431505191411777,1.0828820518382092
7,10.584914207458496,11.581615257263184,1.497847414226388,1.973060466698204
8,19.27042579650879,19.99618263244629,4.278380971641801,4.919305353070254
9,10.350237846374512,13.869459915161134,0.671529636311083,1.280265152883239
10,25.740148544311523,26.721124267578126,1.2975813593258232,2.6034785601687336
