Type,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,,
242.534,2286.93,3029.64,3027.86,2334.14,2289.29,2150.21,2295.71,2097.07,2399.93,3014,2783.29,2995.5,2838.43,2516.71,2547.64,2796.64,2882.21,2922.36,400.714,395.571,401.429,611.429,611.429,595.786,482.929,515.643,535.857,,
244.338,2299.71,3037.07,3022.21,2342.86,2287.79,2139.43,2287.93,2084.43,2409.71,3003.5,2765.64,2989.07,2818.29,2505.57,2563.5,2773.86,2856.07,2913,395.143,403,405.357,613.786,603.786,588.357,487.786,511.929,534.643,,
246.145,2279.71,3038.86,3015.93,2322.71,2270.43,2113.5,2298.21,2088.36,2397.21,2983,2756.71,2962.57,2828.43,2514.79,2544.79,2765.43,2837.43,2891.36,401.214,404,398.643,617.143,597.571,583.429,487.286,514.5,533.5,,
247.949,2274.57,3022.93,2999.5,2314.79,2275.07,2102.07,2293.93,2073.93,2381.64,2975.79,2729.21,2968.36,2816.14,2506.5,2525.21,2775.14,2834.36,2904.57,400.643,395.071,399.929,616.643,597.429,598.143,494.571,517.571,527.286,,
249.754,2256.21,3008.64,2988.14,2306,2259.29,2111.93,2277.57,2069,2377.21,2938.57,2732.64,2960.36,2800.21,2481.5,2528.36,2748.79,2831.21,2888.21,401.571,397.786,400,614.357,601.5,583.214,479.286,508.143,526.571,,
251.557,2241.71,3009.57,2981.71,2275.86,2232.93,2084.5,2237.29,2036.43,2362.29,2930.43,2712.07,2925.36,2788.14,2473.57,2525,2736.64,2808.36,2848.57,393.929,391.714,399.071,611.857,592.143,582.643,483.714,508.429,525.786,,
253.36,2213.14,2978.5,2953.64,2270.36,2221.71,2075.21,2240.21,2042,2342.86,2920.36,2697.21,2925.14,2757.86,2462.57,2500.5,2717.07,2776.07,2850.43,390.786,394.643,394.143,607.357,588.214,584.929,480.286,504.714,519.857,,
255.165,2204.93,2968.57,2940.07,2261.64,2219.21,2078.29,2237.43,2031,2339.93,2906.71,2687.57,2901.57,2753.57,2457.36,2477.36,2690.07,2786.93,2817.57,396.5,393.071,395.214,607.929,591.071,583,476.071,504.143,525.5,,
256.967,2197.29,2962,2944.14,2245.71,2222.21,2061.29,2229.64,2025.86,2333.86,2891.36,2664.29,2887.43,2738.86,2417.71,2466.14,2688.36,2770.86,2822,398.143,391.643,395.571,603.071,583.857,580.214,486,506.071,526,,
258.771,2198.64,2953.5,2927.79,2253.07,2210.21,2075.93,2234.36,2014.64,2324.64,2881.93,2646.21,2877.93,2727.14,2434.93,2456.36,2681.86,2764.93,2796,387.643,388.143,393.357,604.071,579.929,580.286,480.786,502.214,519.429,,
260.572,2188.07,2941.64,2930.14,2255.07,2190.86,2041.29,2225.14,2007.36,2330.57,2860.57,2653,2866.57,2707.64,2410.79,2443.14,2662.86,2738.71,2775.86,389.071,392,389.714,599.929,590.714,581.214,485.357,506.786,521.143,,
262.373,2189.5,2934.21,2918.57,2252.64,2184.5,2035.29,2219.21,1996.64,2318.21,2853.14,2635.64,2853.86,2711.43,2397.36,2451.43,2658.07,2733,2774.36,391.143,395.429,395.714,602.714,588.286,576.5,483.071,496.643,514.214,,
264.176,2162,2934.21,2914.5,2214.29,2188.07,2040.07,2207.07,2002.43,2304.29,2859.71,2618.79,2844.86,2687.57,2420.36,2452.71,2641,2723.86,2769.79,392.786,394.429,392.143,602.929,589.571,579.286,479.214,500,520.071,,
265.977,2152.36,2943.21,2903.21,2208.07,2178.71,2025.57,2205.71,1992,2305.86,2825.36,2624.5,2847,2708.57,2393.07,2429.36,2639.43,2737,2761.64,390.143,391.071,388.5,604.714,582.214,575.929,485.071,503.071,514.214,,
267.777,2155.86,2912.64,2917.36,2199.43,2184.79,2018.14,2195.5,1998.36,2298.64,2843.93,2609.43,2834.5,2699.14,2390.64,2429.57,2645.79,2722.43,2769.64,387.286,387.286,388.357,607.429,589.143,584,479.143,503.071,521.786,,
269.578,2148.57,2915.36,2894.36,2199.64,2147.5,2002.57,2183.93,1980.57,2289.36,2840.07,2597.07,2815.86,2685.07,2387.07,2426.5,2633.57,2720.29,2755.5,392.929,390.429,390.071,604.643,588.5,582.571,479.071,494,515.5,,
271.378,2118.93,2902.07,2889.64,2162.07,2146.21,1993.36,2192.36,1981.29,2275.14,2838.64,2616.64,2823.71,2662.43,2389.21,2448.64,2621.43,2716.43,2754,392.857,394.071,394.143,604.286,591.929,580.071,480.071,496.071,520.214,,
273.177,2136.14,2887,2887.07,2165.57,2124.71,1990.57,2172.21,1968.29,2282.71,2842.14,2590.64,2816.36,2676.07,2376.36,2425.29,2624,2707.57,2745.36,394.429,391.714,396.071,605.357,589.429,583.286,475.357,505.5,527.357,,
274.975,2116.43,2893.36,2884.93,2155.43,2135.36,1980.57,2170.07,1967.5,2276.93,2822.5,2574.36,2786.71,2691.14,2377.5,2421.79,2619.21,2706.64,2742.43,392.714,390.714,394.286,611.071,587.643,582.571,483.714,502.5,524.643,,
276.776,2111.43,2893.5,2877.5,2181.43,2131.36,1977.43,2188.07,1968.86,2280.29,2799.29,2584,2801.86,2668.71,2394.29,2414.5,2604.07,2709.79,2749.86,394.071,392.714,393.5,605.429,583,584,483.214,509,526.429,,
278.574,2123.86,2894.29,2908.14,2170.5,2140.43,1980.21,2179.71,1957.36,2281.5,2811.93,2569.21,2797.86,2663.64,2384.57,2401.14,2612.14,2674.14,2733.36,394.857,396,390,610.571,590.357,581.286,481.286,508.714,524.071,,
280.371,2109.14,2904.5,2892.5,2173.14,2115.36,1972.57,2178.64,1968,2275.21,2811.64,2583.14,2800.64,2682.14,2375.36,2415.29,2615.71,2691.57,2720.43,398.571,389.786,397.071,609.571,597.643,584.857,484.214,503.786,521.929,,
282.17,2101.71,2902.14,2885.5,2165.07,2116.71,1970.93,2184.43,1953.93,2264,2800.93,2580.29,2795.43,2662.14,2361.93,2406,2613.36,2690.79,2725.43,397.929,394.357,399.714,602.286,581.429,583.429,483.929,510.857,520.214,,
283.967,2098.71,2895.5,2864.79,2155.79,2123.5,1948.57,2179.64,1950.07,2264.5,2816.79,2558.57,2795.21,2653.5,2366.43,2393.57,2614.71,2674.29,2729.5,390.643,391.5,391.857,605.571,594.571,581.786,487.571,506.786,533.857,,
285.764,2088.29,2875.29,2871.29,2153.86,2106.5,1957.29,2168.36,1953.79,2266.29,2811.43,2558.86,2775.93,2635.36,2371.07,2380.14,2612.07,2669.36,2734.5,391.143,394.286,398.357,606,590.143,576.786,480.071,511.571,525.643,,
287.56,2100.79,2896.43,2887.5,2149.79,2122.57,1952.79,2181.43,1947,2263.64,2791.71,2572.93,2768.21,2658.86,2364.21,2391.5,2595.29,2664.21,2734.71,397.143,391,394.286,606.071,592.786,583.5,487.071,506.5,520.357,,
289.358,2096.57,2905.71,2871.93,2155.79,2106.86,1937.43,2166.64,1948.79,2241.79,2794.43,2555.64,2776.07,2666.29,2382.36,2386.71,2616.64,2690.79,2732.43,390.143,392.786,398.357,611.429,597.714,596.071,480.786,505.214,522.214,,
291.154,2096.43,2889.21,2859.36,2143.64,2094.43,1928.36,2146.57,1943.21,2244.36,2796.07,2552.43,2745.79,2647.07,2343.93,2394.07,2589.64,2653.21,2709.64,387.571,395.929,389.357,611.857,589.929,590.786,486.286,504.286,527.857,,
