,rmse_pre,rmse_post,r2_pre,r2_post
mean,37.44728996810507,62.64040151512181,-0.667464738760897,-4.861753335365324
median,38.00581140586783,48.02934837691668,-0.5961619303969221,-1.8053182183868186
