,rmse_pre,rmse_post,r2_pre,r2_post
mean,0.3628996270119327,0.5982363635030906,-1.0821451814614715,-8.306513875119759
median,0.38522407101273215,0.4129572611591459,-1.0249810989378354,-1.3131660185542262
