target,repeat,a,b,rmse_pre,r2_pre,rmse_post,r2_post
HGS_pp_avg,1,82.66020197247964,-0.08269353872275238,39.293131022144294,-2.1986949040306696,48.02934837691668,-3.779175014010584
HGS_pp_avg,2,-40.717531939301864,1.4324799925615792,42.66992979672834,-0.9367417482487039,40.93632068845953,-0.7825653894698794
HGS_pp_avg,3,134.3349832476544,-1.3203585018141937,23.797692058634674,0.0005155182017102522,37.825230074697984,-1.52504737797446
HGS_pp_avg,4,278.0390272949757,-3.2840448437802348,39.68210016870512,-1.1513601996624003,69.80364898149794,-5.657023401562862
HGS_pp_avg,5,139.27163799824072,-0.991424927800022,35.48267013591297,-0.45136711336263,49.81783271186845,-1.860976894083099
HGS_pp_avg,6,-3.4403340980893837,1.0998873981605133,44.317827905789876,-1.4814901978387316,46.88263884313889,-1.777024603870133
HGS_pp_avg,7,1.6945750174448178,0.46221514753244014,40.65548913932906,-0.48875994094348174,39.51861734306111,-0.40666206626740253
HGS_pp_avg,8,-52.24854489529271,1.6260672719363491,42.79311734273351,-0.9805337229170521,42.199101316776364,-0.9259313243580043
HGS_pp_avg,9,-1.1201731419455787,0.5433178043211858,41.04708058108315,-0.4706024739015666,38.53865174500948,-0.2963544964245639
HGS_pp_avg,10,-291.9107274387008,4.886882474249085,35.55668329188411,-0.33488082168931443,85.5916193654097,-6.735038737841812
HGS_pp_avg,11,-499.11010518134594,8.197531840713205,41.84446753536305,-0.44401644642057825,135.02201057724338,-14.035060815913143
HGS_pp_avg,12,24.426343539065044,-0.006543375574325183,33.356136051632,-0.07668224692181491,44.32709801509448,-0.9014052081936279
HGS_pp_avg,13,-167.52046043054318,3.01899212898867,40.86155544017134,-0.6901959428995008,59.894141182190225,-2.6314155576236993
HGS_pp_avg,14,112.32643679266987,-0.3383927852896733,40.94837144382725,-4.405176580868118,62.9294628947426,-11.765701004105331
HGS_pp_avg,15,7.564345159859115,0.20921219580085731,37.271490550206,-0.59553286211162,45.57832081717332,-1.385991394215158
HGS_pp_avg,16,178.3965207215925,-1.8029865349936034,28.48605170362039,-0.07872838352361167,49.63084831233846,-2.2745451764065874
HGS_pp_avg,17,4.631395974759054,0.5325972603866532,34.96172167056409,-0.43003724837186064,31.273370003717766,-0.1442241081137523
HGS_pp_avg,18,66.9892091188785,-0.3241072889987466,30.59969644908391,-0.33666371611324863,28.306113216759893,-0.1437955471482686
HGS_pp_avg,19,38.83686198516639,0.11741868901671762,33.882289224716715,-0.22827763589191719,30.395457066970632,0.011518807531413655
HGS_pp_avg,20,38.34371434222931,-0.05342314110737682,34.98059703838172,-0.17531205855979204,35.96906067438578,-0.24267324972527482
HGS_pp_avg,21,38.836861985166315,0.11741868901671863,33.882289224716715,-0.22827763589191719,30.395457066970632,0.011518807531413766
HGS_pp_avg,22,-194.1970010134984,3.342747831014089,37.316855328050295,-0.7876177229699541,65.79456986435618,-4.557054782056305
HGS_pp_avg,23,15.23136112394524,0.05476389626121397,27.389973651119416,0.13865674439516706,47.59236219985683,-1.60056402718347
HGS_pp_avg,24,-157.16110616392407,2.896454710775616,41.47578251271824,-0.7051597473383908,57.67838918482408,-2.2976316384030477
HGS_pp_avg,25,-118.78863044305396,2.480003924612646,39.422479253509664,-1.0600834920093107,48.687397441851516,-2.1421728792179047
HGS_pp_avg,26,66.98920911887849,-0.3241072889987466,30.59969644908391,-0.33666371611324863,28.306113216759893,-0.1437955471482686
HGS_pp_avg,27,-22.621577272650477,1.1021857397688837,42.41582260935067,-0.5963495260456282,37.74735543321775,-0.26428580101896326
HGS_pp_avg,28,481.01750399875743,-6.721645926613759,39.54554497658777,-1.0967226652193616,121.06064845991327,-18.649515742954254
HGS_pp_avg,29,229.32902868798908,-2.2720917574314856,31.245289998836817,-0.43260418455376604,67.45867788811518,-5.677789826754332
HGS_pp_avg,30,-2.731041787796603,0.5861380301239054,41.36463149821014,-0.48765018531530036,38.15303713518138,-0.2656124307146195
HGS_pp_avg,31,-499.1101051813464,8.197531840713214,41.84446753536305,-0.44401644642057825,135.02201057724352,-14.03506081591318
HGS_pp_avg,32,-152.28676096212266,2.8444939870883545,41.180537001634406,-0.712717399372266,56.65615938134614,-2.241872726784862
HGS_pp_avg,33,-142.56167438906664,2.730146043944784,41.79007597259293,-0.727570281776527,54.78298178810548,-1.9687986021341657
HGS_pp_avg,34,-56.44595097447626,1.701928144042362,43.009658065244345,-0.9999002789263136,43.33820290790168,-1.030570902024425
HGS_pp_avg,35,57.824742315447935,-0.3419474358746842,40.22611695080453,-0.2956562417423363,39.487673354766834,-0.24852332066310368
HGS_pp_avg,36,-178.0945648574043,3.235741469663619,39.46340959705223,-1.0970909909511635,60.730645801846705,-3.966424790085906
HGS_pp_avg,37,69.12113482617507,0.11794876310637972,39.62474050736716,-2.2542288153470724,47.597984844063966,-3.6956136539420443
HGS_pp_avg,38,-291.91072743869995,4.886882474249072,35.55668329188411,-0.33488082168931443,85.59161936540951,-6.735038737841778
HGS_pp_avg,39,-477.53285726398246,7.875385293256721,37.3777568227094,-0.4652958117780006,129.91567344307455,-16.701983747656513
HGS_pp_avg,40,188.36535658478866,-1.9017175845946617,29.48930456090731,-0.12102051904047939,52.78562488529995,-2.591830506072707
HGS_pp_avg,41,189.0112198325539,-1.9115331364167285,29.360329761660413,-0.11339970582395331,52.88313586535776,-2.6121322628481254
HGS_pp_avg,42,-8.77014473224703,1.1743055092245296,39.17578779633937,-0.9696425722080906,42.105963545842194,-1.2753026137599384
HGS_pp_avg,43,188.36535658478869,-1.9017175845946621,29.48930456090731,-0.12102051904047939,52.78562488529995,-2.591830506072707
HGS_pp_avg,44,1.2075164538209135,0.4762049641543557,40.74872902227271,-0.4912760739141395,39.31756557420989,-0.3883633955052328
HGS_pp_avg,45,40.82148854015254,0.09615760437023427,33.9941118854407,-0.2340474131077881,30.482509531811687,0.007739088069417921
HGS_pp_avg,46,22.418104902633807,-0.011437247894421482,32.589231200549605,-0.06973537579634925,46.16032319734843,-1.1461783485541215
HGS_pp_avg,47,207.60916738336925,-1.7403574193075,31.17240981362283,-1.1870440634674528,71.54321574564673,-10.520032197433835
HGS_pp_avg,48,-82.70474862602737,2.104664225090135,42.47123589395643,-0.595974334748216,46.93536318109786,-0.9491105430508786
HGS_pp_avg,49,189.01121983255396,-1.9115331364167292,29.360329761660413,-0.11339970582395331,52.88313586535777,-2.612132262848127
HGS_pp_avg,50,-40.71753193930182,1.432479992561579,42.66992979672834,-0.9367417482487039,40.93632068845954,-0.7825653894698801
HGS_pp_avg,51,-331.055496475691,5.816234937839429,38.00581140586783,-0.4522710603672577,97.02812255112858,-8.46548608624208
HGS_pp_avg,52,-123.38670377768736,2.493036901406496,37.76058666967602,-0.4353594531050675,48.98181723151814,-1.4151994134856491
HGS_pp_avg,53,-189.79751686189834,3.2993764983649045,37.98843921019583,-0.7887687762601723,64.58142114364445,-4.169713786255133
HGS_pp_avg,54,-56.44595097447627,1.7019281440423624,43.009658065244345,-0.9999002789263136,43.338202907901696,-1.0305709020244262
HGS_pp_avg,55,108.6904458522939,-0.924841540815238,33.19615511739589,-0.006793663806991201,39.3695497393316,-0.4160735108358724
HGS_pp_avg,56,-39.27524038260884,1.3865289993432475,42.36216465320133,-0.9141987065622554,39.97116669531062,-0.7042149872251611
HGS_pp_avg,57,454.33891962476656,-6.30740450952569,37.871624940691305,-0.7030635701022034,114.55123267663606,-14.58125782161266
HGS_pp_avg,58,-118.78863044305396,2.480003924612646,39.422479253509664,-1.0600834920093107,48.687397441851516,-2.1421728792179047
HGS_pp_avg,59,9.910813491366403,0.1706025133460801,37.51991208431029,-0.6136827184040612,45.72692018872567,-1.3968365962926805
HGS_pp_avg,60,502.8852066035084,-7.502351898588459,34.01677460067065,-0.775323036207906,139.42987794710172,-28.82653600239038
HGS_pp_avg,61,454.3389196247658,-6.3074045095256785,37.871624940691305,-0.7030635701022034,114.5512326766359,-14.581257821612617
HGS_pp_avg,62,8.83602248033386,0.13602188150464045,26.908005163077974,0.16340912273109198,48.380541598486715,-1.7045285559225674
HGS_pp_avg,63,-26.735617007835135,1.1892516165139733,42.63427966564208,-0.6113257067078108,38.706866667854754,-0.32813282155645096
HGS_pp_avg,64,384.85825678039384,-5.4975752925301995,33.742571912238006,-0.7491310551367121,103.70387164406833,-15.521745472462097
HGS_pp_avg,65,-291.9107274387006,4.886882474249082,35.55668329188411,-0.33488082168931443,85.59161936540964,-6.735038737841802
HGS_pp_avg,66,439.7458998229859,-6.104357751309378,40.87770663799334,-0.39965579869682144,111.30047925442464,-9.376294068850745
HGS_pp_avg,67,189.01121983255396,-1.9115331364167292,29.360329761660413,-0.11339970582395331,52.88313586535777,-2.612132262848127
HGS_pp_avg,68,-22.621577272650445,1.1021857397688835,42.41582260935067,-0.5963495260456282,37.74735543321775,-0.26428580101896326
HGS_pp_avg,69,62.11358022804989,-0.47006515836944496,31.42841916451159,0.10648754279008799,41.874488246937986,-0.5861876468084477
HGS_pp_avg,70,-6.695826732268894,1.3168504839817838,40.45790898657904,-2.6634145562203675,53.99767934333816,-5.525734367303283
HGS_pp_avg,71,-24.482406486708697,1.2517489329996336,43.15054831847109,-0.6190915922854769,40.68831027497888,-0.4395875742056212
HGS_pp_avg,72,-522.1705441379972,8.530648402498906,41.14359636071496,-0.4286388350685164,140.35030554757662,-15.62435004973452
HGS_pp_avg,73,-3.4403340980893837,1.0998873981605133,44.317827905789876,-1.4814901978387316,46.88263884313889,-1.777024603870133
HGS_pp_avg,74,-7.823979510993974,0.9931984834060108,43.062509221040536,-0.6141143254837094,38.97059485972185,-0.32193377119187083
HGS_pp_avg,75,283.25052641196964,-3.3648580988623813,39.58634807640938,-1.141975648049987,70.89926056281477,-5.870796133172059
HGS_pp_avg,76,4.631395974759046,0.5325972603866529,34.96172167056409,-0.43003724837186064,31.273370003717773,-0.14422410811375275
HGS_pp_avg,77,-28.846835270886956,1.0702330093681318,39.012600351839446,-0.7152565966187052,35.565331107799814,-0.42551900979765755
HGS_pp_avg,78,-473.91498571808273,7.835233707414221,38.147878668704685,-0.4719163312952783,129.25622212574214,-15.898387127525666
HGS_pp_avg,79,15.231361123945222,0.05476389626121406,27.389973651119416,0.13865674439516706,47.59236219985684,-1.600564027183471
HGS_pp_avg,80,454.4633297154286,-6.315397674153577,37.971701244754605,-0.7097839384013782,114.7094559993977,-14.603411528369051
HGS_pp_avg,81,153.62409011622634,-1.5238740148250738,35.65641790240295,-1.2123983130263776,40.15106948790957,-1.8053182183868293
HGS_pp_avg,82,-124.53402267018834,2.563927944311908,42.45569091851461,-1.007212972923357,51.388980021404265,-1.9407738304058557
HGS_pp_avg,83,-399.05197270335213,6.909571620644264,38.1055352985744,-0.4560144970986435,114.56216148264595,-12.160487087749507
HGS_pp_avg,84,454.33891962476594,-6.30740450952568,37.871624940691305,-0.7030635701022034,114.5512326766359,-14.581257821612619
HGS_pp_avg,85,-39.275240382608864,1.3865289993432477,42.36216465320133,-0.9141987065622554,39.971166695310615,-0.7042149872251604
HGS_pp_avg,86,82.66020197247961,-0.08269353872275215,39.293131022144294,-2.1986949040306696,48.029348376916666,-3.7791750140105815
HGS_pp_avg,87,62.11358022804989,-0.47006515836944496,31.42841916451159,0.10648754279008799,41.874488246937986,-0.5861876468084477
HGS_pp_avg,88,481.01750399875743,-6.721645926613759,39.54554497658777,-1.0967226652193616,121.06064845991327,-18.649515742954254
HGS_pp_avg,89,188.3653565847886,-1.9017175845946603,29.48930456090731,-0.12102051904047939,52.785624885299946,-2.5918305060727067
HGS_pp_avg,90,139.2716379982408,-0.9914249278000226,35.48267013591297,-0.45136711336263,49.8178327118685,-1.860976894083104
HGS_pp_avg,91,63.926326839517955,-0.4703557926389213,29.21696243114888,0.041183881473208395,37.70385647035293,-0.5967493537532116
HGS_pp_avg,92,-55.64383173272925,1.6964164701100077,43.09780512580362,-1.0066931384760105,43.49730153157841,-1.0440677672203478
HGS_pp_avg,93,239.76006793302662,-2.5425798900771457,40.96448841244445,-1.799662416561727,65.70663105935063,-6.202926730012165
HGS_pp_avg,94,-88.63415881504741,1.845358378744602,39.49653836876327,-0.286212583565572,46.619122987341804,-0.7919376089405261
HGS_pp_avg,95,-1.12017314194557,0.5433178043211856,41.04708058108315,-0.4706024739015666,38.53865174500949,-0.29635449642456413
HGS_pp_avg,96,13.6910858312683,0.07242405256905562,27.251064875276146,0.1436496787539192,47.899095013449084,-1.6456910362700583
HGS_pp_avg,97,-82.70474862602742,2.104664225090136,42.47123589395643,-0.595974334748216,46.93536318109787,-0.9491105430508793
HGS_pp_avg,98,532.5068908829207,-7.636478767013821,38.90085224571845,-1.0597614985154342,136.5884026278379,-24.39372172381592
HGS_pp_avg,99,-331.05549647568836,5.8162349378393845,38.00581140586783,-0.4522710603672577,97.02812255112786,-8.465486086241938
HGS_pp_avg,100,-27.57576967982283,1.210286991533829,42.723201218783785,-0.6148002742526806,39.01082789350416,-0.3463611626254268
HGS_pp_avg,101,13.691085831268312,0.07242405256905533,27.251064875276146,0.1436496787539192,47.89909501344909,-1.6456910362700587
HGS_pp_avg,102,-186.82459642370551,3.2653057101628122,38.08820858742572,-0.7934872747117796,63.84775147384627,-4.039743350486747
HGS_pp_avg,103,-28.846835270886956,1.0702330093681318,39.012600351839446,-0.7152565966187052,35.565331107799814,-0.42551900979765755
HGS_pp_avg,104,-19.918376076403067,1.1016181596269035,42.596396280399915,-0.5951785446207238,38.09704512246374,-0.27598675664136163
HGS_pp_avg,105,9.46484047133969,0.8449478027624026,35.59257119270591,-2.6449182870218224,34.253541798380816,-2.3758258915954316
HGS_pp_avg,106,-82.70474862602754,2.1046642250901377,42.47123589395643,-0.595974334748216,46.93536318109789,-0.9491105430508813
HGS_pp_avg,107,139.27163799824086,-0.9914249278000234,35.48267013591297,-0.45136711336263,49.8178327118685,-1.860976894083104
HGS_pp_avg,108,116.19411988828094,-1.0628255704518574,33.147486903940326,0.004312937667580452,41.09296951937979,-0.5302299601135003
HGS_pp_avg,109,-331.0554964756927,5.816234937839454,38.00581140586783,-0.4522710603672577,97.02812255112897,-8.465486086242155
HGS_pp_avg,110,-152.97544303974848,2.8461884632729952,41.56718242574075,-0.7103060022903347,56.814366755027855,-2.195133332215417
HGS_pp_avg,111,9.677933074534865,0.17967837258670916,37.620923999642535,-0.6153972649436104,45.415913949601475,-1.354163077690321
HGS_pp_avg,112,22.418104902633818,-0.011437247894421548,32.589231200549605,-0.06973537579634925,46.16032319734843,-1.1461783485541215
HGS_pp_avg,113,-60.88942680016218,1.2346515465110386,29.19436087177652,-0.19168244151058245,44.44073374812407,-1.7613727704403455
HGS_pp_avg,114,-157.1611061639238,2.8964547107756125,41.47578251271824,-0.7051597473383908,57.67838918482401,-2.297631638403041
HGS_pp_avg,115,-40.5162788296938,1.646509253360755,43.91687784297556,-0.7807679039914504,49.571696648429494,-1.2688823216697274
HGS_pp_avg,116,9.677933074534883,0.17967837258670907,37.620923999642535,-0.6153972649436104,45.41591394960147,-1.3541630776903202
HGS_pp_avg,117,-186.8245964237055,3.265305710162812,38.08820858742572,-0.7934872747117796,63.847751473846266,-4.039743350486745
HGS_pp_avg,118,-13.208821004908375,0.8102220264293459,38.971196538995684,-0.6970762881328065,34.11364809172656,-0.3003798017565771
HGS_pp_avg,119,-530.9538426885741,8.570099204743634,41.53058569976189,-0.4257148222707994,141.34544173137067,-15.51429992119834
HGS_pp_avg,120,465.60176352231485,-6.554541300455964,37.19793211451792,-0.6796500492261421,118.91423004285858,-16.165200017107143
HGS_pp_avg,121,9.46484047133976,0.8449478027624017,35.59257119270591,-2.6449182870218224,34.253541798380816,-2.3758258915954316
HGS_pp_avg,122,2.015341409045626,0.44898370121818104,40.42634044998169,-0.4739824148867997,39.78742045013437,-0.4277593428147155
HGS_pp_avg,123,465.60176352231485,-6.554541300455964,37.19793211451792,-0.6796500492261421,118.91423004285858,-16.165200017107143
HGS_pp_avg,124,543.5748177995321,-7.893966781797014,37.54805012712469,-0.7074887574985504,141.99103074212906,-23.417708149665522
HGS_pp_avg,125,63.926326839517955,-0.4703557926389213,29.21696243114888,0.041183881473208395,37.70385647035293,-0.5967493537532116
HGS_pp_avg,126,-1.5431384461817623,0.5560689546959137,41.139432956744066,-0.47328539971033456,38.39183039325911,-0.2830628158707025
HGS_pp_avg,127,1.2075164538209184,0.47620496415435565,40.74872902227271,-0.4912760739141395,39.31756557420989,-0.3883633955052328
HGS_pp_avg,128,-88.63415881504775,1.8453583787446073,39.49653836876327,-0.286212583565572,46.61912298734184,-0.791937608940529
HGS_pp_avg,129,527.0904936646481,-7.380805668200632,41.49169461511488,-0.4110181999476423,131.19425110697014,-13.107169340645838
HGS_pp_avg,130,153.62409011622634,-1.5238740148250738,35.65641790240295,-1.2123983130263776,40.15106948790957,-1.8053182183868293
HGS_pp_avg,131,116.19411988828094,-1.0628255704518579,33.147486903940326,0.004312937667580452,41.0929695193798,-0.5302299601135005
HGS_pp_avg,132,-53.179449754233374,1.4930765368753516,38.95425487272707,-1.1092107631361428,38.287359168150864,-1.0376097056855134
HGS_pp_avg,133,-307.80917667583475,5.158198859224829,36.36539108196096,-0.3348198624586527,89.07442380199234,-7.008518422849782
HGS_pp_avg,134,229.32902868798905,-2.272091757431485,31.245289998836817,-0.43260418455376604,67.45867788811518,-5.677789826754331
HGS_pp_avg,135,-307.80917667583486,5.15819885922483,36.36539108196096,-0.3348198624586527,89.07442380199235,-7.008518422849784
HGS_pp_avg,136,1.6945750174448566,0.4622151475324396,40.65548913932906,-0.48875994094348174,39.51861734306111,-0.4066620662674023
HGS_pp_avg,137,38.34371434222932,-0.05342314110737708,34.98059703838172,-0.17531205855979204,35.96906067438578,-0.24267324972527482
HGS_pp_avg,138,38.836861985166344,0.11741868901671823,33.882289224716715,-0.22827763589191719,30.395457066970632,0.011518807531413766
HGS_pp_avg,139,4.034326635122756,0.9100703529168462,38.84034545045947,-0.9415530605483882,37.110582687784905,-0.7724689781183314
HGS_pp_avg,140,-88.63415881504741,1.845358378744602,39.49653836876327,-0.286212583565572,46.619122987341804,-0.7919376089405261
HGS_pp_avg,141,617.115517157967,-9.469212071349547,33.26510382038096,-0.7658738090296782,175.7183950216397,-48.273833825172424
HGS_pp_avg,142,207.60916738336925,-1.7403574193075,31.17240981362283,-1.1870440634674528,71.54321574564673,-10.520032197433835
HGS_pp_avg,143,-107.56271523005505,2.3544090509705686,43.047177763711204,-1.0332089938872455,49.103359319165925,-1.645544456306618
HGS_pp_avg,144,454.3389196247666,-6.307404509525691,37.871624940691305,-0.7030635701022034,114.55123267663608,-14.581257821612665
HGS_pp_avg,145,210.9095165243923,-2.0904892070473142,31.193578194559503,-0.40056641418963435,61.27139199021335,-4.403669901687642
HGS_pp_avg,146,82.6602019724796,-0.08269353872275169,39.293131022144294,-2.1986949040306696,48.02934837691668,-3.779175014010584
HGS_pp_avg,147,207.60916738336925,-1.7403574193075,31.17240981362283,-1.1870440634674528,71.54321574564673,-10.520032197433835
HGS_pp_avg,148,543.5748177995321,-7.893966781797014,37.54805012712469,-0.7074887574985504,141.99103074212906,-23.417708149665522
HGS_pp_avg,149,278.03902729497594,-3.2840448437802388,39.68210016870512,-1.1513601996624003,69.803648981498,-5.657023401562871
HGS_pp_avg,150,-40.68859875314542,1.42590139004735,42.580896997188994,-0.9323024127363966,40.7233148936207,-0.767387297469053
HGS_pp_avg,151,-39.27524038260895,1.3865289993432488,42.36216465320133,-0.9141987065622554,39.97116669531062,-0.7042149872251608
HGS_pp_avg,152,-430.66658872122196,7.081136397125162,37.80331641760321,-0.45105594046772146,117.7094694955853,-13.068479351108115
HGS_pp_avg,153,-7.823979510993846,0.9931984834060089,43.062509221040536,-0.6141143254837094,38.97059485972185,-0.3219337711918704
HGS_pp_avg,154,24.79770615283477,-0.008539810615922771,33.469716641577506,-0.08042655868334214,44.14311554738043,-0.8793910032288432
HGS_pp_avg,155,189.91022993766953,-1.5690802988616759,35.52813964318037,-0.47653229786297024,64.45787021437384,-3.860152764418329
HGS_pp_avg,156,108.69044585229398,-0.9248415408152393,33.19615511739589,-0.006793663806991201,39.36954973933162,-0.4160735108358731
HGS_pp_avg,157,185.0743196519461,-1.7722048442882854,35.546714243330186,-0.1704375503372897,55.41940922693222,-1.84493995296341
HGS_pp_avg,158,6.372093559844838,0.1412499809419919,26.3067807757696,0.1594781719070082,50.34515905075346,-2.0784281345853013
