,rmse_pre,rmse_post,r2_pre,r2_post
mean,36.263715062586535,62.48079487785879,-0.004053058975082954,-3.241048670137258
median,37.637422003383584,53.88149385258632,0.029270763010978418,-1.0061865766563438
